latitude,longitude,timestamp,geometry
-29.0777,113.5089,1685637140.0,POINT (113.5089 -29.0777)
-29.3275,113.7751,1685637145.0,POINT (113.7751 -29.3275)
-29.5541,114.0183,1685637150.0,POINT (114.0183 -29.5541)
-29.8026,114.2872,1685637156.0,POINT (114.2872 -29.8026)
-30.028,114.5329,1685637161.0,POINT (114.5329 -30.028)
-30.2753,114.8046,1685637167.0,POINT (114.8046 -30.2753)
-30.4995,115.0529,1685637172.0,POINT (115.0529 -30.4995)
-30.7456,115.3275,1685637177.0,POINT (115.3275 -30.7456)
-30.9686,115.5784,1685637182.0,POINT (115.5784 -30.9686)
-31.2134,115.8559,1685637188.0,POINT (115.8559 -31.2134)
-31.4352,116.1096,1685637193.0,POINT (116.1096 -31.4352)
-31.6786,116.3901,1685637198.0,POINT (116.3901 -31.6786)
-31.8993,116.6464,1685637203.0,POINT (116.6464 -31.8993)
-32.1412,116.9299,1685637209.0,POINT (116.9299 -32.1412)
-32.3605,117.1891,1685637214.0,POINT (117.1891 -32.3605)
-32.6011,117.4758,1685637219.0,POINT (117.4758 -32.6011)
-32.8191,117.7378,1685637224.0,POINT (117.7378 -32.8191)
-33.0581,118.0276,1685637230.0,POINT (118.0276 -33.0581)
-33.2747,118.2926,1685637235.0,POINT (118.2926 -33.2747)
-33.5123,118.5857,1685637240.0,POINT (118.5857 -33.5123)
-33.7275,118.8537,1685637245.0,POINT (118.8537 -33.7275)
-33.9635,119.1501,1685637251.0,POINT (119.1501 -33.9635)
-34.1987,119.4484,1685637256.0,POINT (119.4484 -34.1987)
-34.4118,119.7211,1685637261.0,POINT (119.7211 -34.4118)
-34.6453,120.0227,1685637267.0,POINT (120.0227 -34.6453)
-34.8568,120.2986,1685637272.0,POINT (120.2986 -34.8568)
-35.0887,120.6037,1685637277.0,POINT (120.6037 -35.0887)
-35.3197,120.9108,1685637283.0,POINT (120.9108 -35.3197)
-35.5289,121.1916,1685637288.0,POINT (121.1916 -35.5289)
-35.7581,121.5022,1685637293.0,POINT (121.5022 -35.7581)
-35.9864,121.8148,1685637299.0,POINT (121.8148 -35.9864)
-36.1931,122.1006,1685637304.0,POINT (122.1006 -36.1931)
-36.4196,122.417,1685637309.0,POINT (122.417 -36.4196)
-36.6247,122.7062,1685637314.0,POINT (122.7062 -36.6247)
-36.8493,123.0263,1685637320.0,POINT (123.0263 -36.8493)
-37.0526,123.3191,1685637325.0,POINT (123.3191 -37.0526)
-37.2551,123.6135,1685637330.0,POINT (123.6135 -37.2551)
-37.4769,123.9393,1685637335.0,POINT (123.9393 -37.4769)
-37.6976,124.2672,1685637341.0,POINT (124.2672 -37.6976)
-37.8974,124.5671,1685637346.0,POINT (124.5671 -37.8974)
