"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
1296,22,"BEL","Belgium",1,"Vlaanderen",1,"Antwerpen",1,"Antwerpen"," ","Anvers","Arrondissement","Arrondissement"
1297,22,"BEL","Belgium",1,"Vlaanderen",1,"Antwerpen",2,"Mechelen"," ","Malines","Arrondissement","Arrondissement"
1298,22,"BEL","Belgium",1,"Vlaanderen",1,"Antwerpen",3,"Turnhout"," "," ","Arrondissement","Arrondissement"
1299,22,"BEL","Belgium",2,"Bruxelles",2,"Bruxelles",4,"Brussel"," ","Bruxelles","Arrondissement","Arrondissement"
1300,22,"BEL","Belgium",2,"Vlaanderen",2,"Vlaams Brabant",4,"Halle-Vilvoorde"," ","Hal-Vilvorde","Arrondissement","Arrondissement"
1301,22,"BEL","Belgium",3,"Vlaanderen",3,"Oost-Vlaanderen",5,"Aalst"," ","Alost","Arrondissement","Arrondissement"
1302,22,"BEL","Belgium",3,"Vlaanderen",3,"Oost-Vlaanderen",6,"Dendermonde"," ","Termonde","Arrondissement","Arrondissement"
1303,22,"BEL","Belgium",3,"Vlaanderen",3,"Oost-Vlaanderen",7,"Eeklo"," "," ","Arrondissement","Arrondissement"
1304,22,"BEL","Belgium",3,"Vlaanderen",3,"Oost-Vlaanderen",8,"Gent"," ","Gand","Arrondissement","Arrondissement"
1305,22,"BEL","Belgium",3,"Vlaanderen",3,"Oost-Vlaanderen",9,"Oudenaarde"," ","Audenarde","Arrondissement","Arrondissement"
1306,22,"BEL","Belgium",3,"Vlaanderen",3,"Oost-Vlaanderen",10,"Sint-Niklaas"," ","Saint-Nicolas","Arrondissement","Arrondissement"
1307,22,"BEL","Belgium",4,"Vlaanderen",4,"Vlaams Brabant",11,"Halle-Vilvoorde"," ","Hal-Vilvorde","Arrondissement","Arrondissement"
1308,22,"BEL","Belgium",4,"Vlaanderen",4,"Vlaams Brabant",12,"Leuven"," ","Louvain","Arrondissement","Arrondissement"
1309,22,"BEL","Belgium",5,"Wallonie",5,"Hainaut",13,"Ath"," ","Aat","Arrondissement","Arrondissement"
1310,22,"BEL","Belgium",5,"Wallonie",5,"Hainaut",14,"Charleroi"," "," ","Arrondissement","Arrondissement"
1311,22,"BEL","Belgium",5,"Vlaanderen",5,"Hainaut",15,"Moeskroen"," ","Mouscron","Arrondissement","Arrondissement"
1312,22,"BEL","Belgium",5,"Wallonie",5,"Hainaut",15,"Moeskroen"," ","Mouscron","Arrondissement","Arrondissement"
1313,22,"BEL","Belgium",5,"Wallonie",5,"Hainaut",16,"Mons"," ","Bergen","Arrondissement","Arrondissement"
1314,22,"BEL","Belgium",5,"Wallonie",5,"Hainaut",17,"Soignies"," ","Zinnik","Arrondissement","Arrondissement"
1315,22,"BEL","Belgium",5,"Wallonie",5,"Hainaut",18,"Thuin"," "," ","Arrondissement","Arrondissement"
1316,22,"BEL","Belgium",5,"Vlaanderen",5,"Hainaut",19,"Tournai"," ","Doornik","Arrondissement","Arrondissement"
1317,22,"BEL","Belgium",5,"Wallonie",5,"Hainaut",19,"Tournai"," ","Doornik","Arrondissement","Arrondissement"
1318,22,"BEL","Belgium",6,"Wallonie",6,"Liège",20,"Waremme"," ","Borgworm","Arrondissement","Arrondissement"
1319,22,"BEL","Belgium",6,"Wallonie",6,"Liège",21,"Huy"," ","Hoei","Arrondissement","Arrondissement"
1320,22,"BEL","Belgium",6,"Wallonie",6,"Liège",22,"Liège"," ","Luik","Arrondissement","Arrondissement"
1321,22,"BEL","Belgium",6,"Wallonie",6,"Liège",23,"Liège"," ","Luik","Arrondissement","Arrondissement"
1322,22,"BEL","Belgium",6,"Wallonie",6,"Liège",23,"Verviers"," "," ","Arrondissement","Arrondissement"
1323,22,"BEL","Belgium",7,"Vlaanderen",7,"Limburg",24,"Hasselt"," "," ","Arrondissement","Arrondissement"
1324,22,"BEL","Belgium",7,"Wallonie",7,"Limburg",24,"Hasselt"," "," ","Arrondissement","Arrondissement"
1325,22,"BEL","Belgium",7,"Vlaanderen",7,"Limburg",25,"Maaseik"," "," ","Arrondissement","Arrondissement"
1326,22,"BEL","Belgium",7,"Vlaanderen",7,"Limburg",26,"Tongeren"," ","Tongres","Arrondissement","Arrondissement"
1327,22,"BEL","Belgium",8,"Wallonie",8,"Luxembourg",27,"Arlon"," ","Aarlen","Arrondissement","Arrondissement"
1328,22,"BEL","Belgium",8,"Wallonie",8,"Luxembourg",28,"Bastogne"," ","Bastenaken","Arrondissement","Arrondissement"
1329,22,"BEL","Belgium",8,"Wallonie",8,"Luxembourg",29,"Marche-en-Famenne"," "," ","Arrondissement","Arrondissement"
1330,22,"BEL","Belgium",8,"Wallonie",8,"Luxembourg",30,"Neufchâteau"," "," ","Arrondissement","Arrondissement"
1331,22,"BEL","Belgium",8,"Wallonie",8,"Luxembourg",31,"Virton"," "," ","Arrondissement","Arrondissement"
1332,22,"BEL","Belgium",9,"Wallonie",9,"Namur",32,"Dinant"," "," ","Arrondissement","Arrondissement"
1333,22,"BEL","Belgium",9,"Wallonie",9,"Namur",33,"Namur"," ","Namen","Arrondissement","Arrondissement"
1334,22,"BEL","Belgium",9,"Wallonie",9,"Namur",34,"Philippeville"," "," ","Arrondissement","Arrondissement"
1335,22,"BEL","Belgium",10,"Wallonie",10,"Brabant Wallon",35,"Nivelles"," ","Nijvel","Arrondissement","Arrondissement"
1336,22,"BEL","Belgium",11,"Vlaanderen",11,"West-Vlaanderen",36,"Brugge"," ","Bruges","Arrondissement","Arrondissement"
1337,22,"BEL","Belgium",11,"Vlaanderen",11,"West-Vlaanderen",37,"Diksmuide"," ","Dixmude","Arrondissement","Arrondissement"
1338,22,"BEL","Belgium",11,"Vlaanderen",11,"West-Vlaanderen",38,"Ieper"," ","Ypres","Arrondissement","Arrondissement"
1339,22,"BEL","Belgium",11,"Vlaanderen",11,"West-Vlaanderen",39,"Kortrijk"," ","Courtrai","Arrondissement","Arrondissement"
1340,22,"BEL","Belgium",11,"Wallonie",11,"West-Vlaanderen",39,"Kortrijk"," ","Courtrai","Arrondissement","Arrondissement"
1341,22,"BEL","Belgium",11,"Vlaanderen",11,"West-Vlaanderen",40,"Oostende"," ","Ostende","Arrondissement","Arrondissement"
1342,22,"BEL","Belgium",11,"Vlaanderen",11,"West-Vlaanderen",41,"Roeselare"," ","Roulers","Arrondissement","Arrondissement"
1343,22,"BEL","Belgium",11,"Vlaanderen",11,"West-Vlaanderen",42,"Tielt"," "," ","Arrondissement","Arrondissement"
